Host Name;DNS name 1;DNS name 2;State;Responsable;Critical;Priority;Type;Virt. Plataform;Fail Over Cluster or VMwware Datacenter;Business Function;Application name;Environment;Contact Team;Data center;Domain;Operating System;Time Zone;Network Adapter;MAC Address;IP Address Adapter 1;IP Address Adapter 2;IP Address Adapter 3;IP Address Adapter 4;Default Gateway;DNS Primary;DNS Secondary;SERVER MAKE;SERVER MODEL;SERVER TYPE;Console Remote Access;Service Tag (serial);Warranty end
CANSAPP28;cansapp28.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P5;Virtual;VMware;CANOAS;Application Server;Netsight - Network Management;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:06:5B:F7:D3:F3;10.30.20.121/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP29;cansapp29.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Telecom - ACS;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00-11-43-D2-78-0F;10.30.20.124/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP30;cansapp30.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;Citrix Licencing, SoftComex/SoftWay, interface (JDE, SoftComex);PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:6C:94;10.30.20.36/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP31;cansapp31.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P3;Virtual;VMware;CANOAS;Application Server;Citrix Desktop Studio;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:6C:7F;10.30.20.38/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP32;cansapp32.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P3;Virtual;VMware;CANOAS;Application Server;Citrix Desktop Studio;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-14-6C-85;10.30.20.39/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP33;CANSAPP33.sa.agcocorp.com;;IMPLEMENTING;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;Intranet (sharepoint);PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.23.33/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP33.OLD;cansapp33.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P5;Virtual;VMware;CANOAS;Application Server;Wyse;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-14-6C-7E;10.30.20.44/24;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP34PY;cansapp34py.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;NO;P5;Virtual;VMware;CANOAS;Application Server;NFE Sawluz (PY);PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;vmxnet3 Ethernet Adapter ;00:50:56:B8:23:49;10.30.20.237/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP36PY;cansapp36py.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Citrix Web;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.168.47/24;;;;10.30.168.3;10.30.22.140;10.30.22.139;;;;None;None;None
CANSAPP43;CANSAPP43.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Physical;None;None;Application Server;Oracle Databases;PD;;AGCO BR - Canoas;None;AIX;(UTC-03:00) Brasilia;vmxnet3 Ethernet Adapter ;00:50:56:B8:21:CE;10.30.20.238;;;;10.30.20.1;10.30.22.138;10.30.22.139;;;;Configuration Needed;Configuration Needed;Configuration Needed
CANSAPP44;cansapp44.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Servidor do EPM;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:16:30:38;10.30.20.207/24;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP44PY;cansapp44py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Servidor do EPM;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;Intel(R) PRO/1000 MT Network Connection;00-50-56-A2-21-A9;10.30.20.87/22;;;;10.30.20.1;10.30.22.140;10.30.22.139;;;;None;None;None
CANSAPP49;cansapp49.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P5;Virtual;VMware;CANOAS;Application Server;Citrix -  XenApp 5;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-14-6C-7C;10.30.20.31/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP51;cansapp51.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;UPK;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-16-2A-86;10.30.20.239/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP53PY;cansapp53py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;WTS 2008 PY - Sistemas Fox;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;vmxnet3 Ethernet Adapter;00-15-5D-14-3D-A8;10.30.20.102/24;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP56;CANSAPP56.sa.agcocorp.com;;OPERATING;INTEROP;YES;P3;Virtual;VMware;CANOAS;Application Server;Nexo;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.20.56/22;;;;10.30.20.1;10.30.22.138;10.30.22.139;;;;None;None;None
CANSAPP56PY;CANSAPP56PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Nexo;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.20.30/22;;;;10.30.20.1;10.30.22.138;10.30.22.139;;;;None;None;None
CANSAPP57;CANSAPP57.sa.agcocorp.com;;IMPLEMENTING;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;CreditFlow;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.20.57/22;;;;10.30.20.1;10.30.22.138;10.30.22.139;;;;None;None;None
CANSAPP57PY;CANSAPP57PY.sa.agcocorp.com;;IMPLEMENTING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;CreditFlow;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.20.31/22;;;;10.30.20.1;10.30.22.138;10.30.22.139;;;;None;None;None
CANSAPP58;cansapp58.sa.agcocorp.com;;OPERATING;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;SQL Server Integration Server (SSIS), interfaces;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Enterprise (64-bit);(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-16-30-3A;10.30.22.4/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP58PY;cansapp58py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Integration Server PD;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Enterprise (64-bit);(UTC-03:00) Brasilia;vmxnet3 Ethernet Adapter;00-50-56-B8-06-2F;10.30.20.189/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSAPP60;cansapp60.sa.agcocorp.com;;OPERATING;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;JDE (Argentina);PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Buenos Aires;;;10.30.23.150/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP60.old;cansapp60.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;JDE (Argentina);PD/DR;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 R2 Enterprise (32-bit);(GMT-03:00) Brasilia;vmxnet3 Ethernet Adapter;00:50:56:B8:AF:7B;10.30.20.46/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP61;cansapp61.sa.agcocorp.com;;OPERATING;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;JDE (Argentina);PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Buenos Aires;;;10.30.23.151/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP61.old;cansapp61.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;JDE (Argentina);PD/DR;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 R2 Enterprise (32-bit);(GMT-03:00) Brasilia;vmxnet3 Ethernet Adapter;00:50:56:B8:76:1E;10.30.20.136/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP63;cansapp63.sa.agcocorp.com;;OPERATING;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;CreditFlow;PD/DR;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;vmxnet3 Ethernet Adapter;00:50:56:B8:C2:F3;10.30.22.13/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP63PY;cansapp63py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;CreditFlow;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:3F:47;10.30.22.24/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP65;None;;DECOMMISSIONED;INTEROP;YES;P5;Virtual;N/A;N/A;Application Server;Black Berry;PD;;AGCO AR - General Rodriguez;sa.agcocorp.com;N/A;(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:25:5F;10.30.22.2;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP66;cansapp66.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Coletor de Logs Websense;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;vmxnet3 Ethernet Adapter;00:50:56:B8:3B:15;10.30.22.3/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP67;cansapp67.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Label Matrix;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Enterprise (64-bit);(UTC-03:00) Brasilia;;;10.30.20.140;;;;Unknown;Unknown;Unknown;;;;None;None;None
CANSAPP69;None;;DECOMMISSIONED;INTEROP;YES;P5;Virtual;N/A;N/A;Application Server;Black Berry;PD;;AGCO AR - General Rodriguez;sa.agcocorp.com;N/A;(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:26:62;10.30.22.22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP71;cansapp71.sa.agcocorp.com;;OPERATING;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;Remote Desktop Licencing;PD/DR;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;vmxnet3 Ethernet Adapter;00-50-56-B8-68-9C;10.30.22.52/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP72;cansapp72.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Cognos;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:16:2A:81;10.30.22.64/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP72DV;cansapp72dv.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Cognos  10;DV;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:3D:9D;10.30.22.68/22;;;;10.30.20.1;10.30.22.140;10.30.22.139;;;;None;None;None
CANSAPP72PP;cansapp72pp.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Cognos  10;PP;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.22.47/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP72PY;cansapp72py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Cognos  10;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:16:2E:2A;10.30.22.66/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP73;cansapp73.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Cognos;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:16:2A:89;10.30.22.65/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP73PY;cansapp73py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Gateway Server Cognos 10;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:3E:7B;10.30.22.67/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP74;cansapp74.sa.agcocorp.com;;IMPLEMENTING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Wavelink - Collector Management;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.23.74/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP83;cansapp83.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Gerenciamento CISCO - URA;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:16:2A:8B;10.30.22.96/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP84PY;None;;DECOMMISSIONED;INTEROP;NO;P5;Physical;None;N/A;Application Server;Automation Studio;PY;;AGCO AR - General Rodriguez;sa.agcocorp.com;N/A;(UTC-03:00) Brasilia;Broadcom BCM5708C NetXtreme II GigE (NDIS VBD Client);00:22:19:59:62:CA;10.30.20.134;;;;10.30.20.1;10.30.22.140;10.30.22.138;DELL;1950;PowerEdge;;N/A;N/A
CANSAPP85;cansapp85.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Bilhetagem de Impressoras;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-16-2A-88;10.30.20.158/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP86;cansapp86.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Symantec OPS;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-14-3E-83;10.30.20.181/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP87;cansapp87.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;QlikView;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:3F:70;10.30.22.119/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP90;cansapp90.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Physical;None;None;Application Server;Garantia Produç;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Broadcom BCM5708C NetXtreme II GigE (NDISVBD Client);00-22-19-90-A5-A9;10.30.20.210/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;DELL;2950;PowerEdge;Configuration Needed;J4MFWH1;20/12/2013
CANSAPP91;cansapp91.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;XenApp 6.5 (many Applications);PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:6C:80;10.30.22.152/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP91PY;cansapp91py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;XenApp 6.5 PY;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-14-6C-8E;10.30.22.212/22;;;;10.30.20.1;10.30.22.140;10.30.22.139;;;;None;None;None
CANSAPP93;cansapp93.sa.agcocorp.com;;OPERATING;INTEROP;YES;P1;Virtual;VMware;CANOAS;Application Server;Interface (JDE, Windchill), Jetty, ActiveMQ;PD/DR;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:50:56:B8:90:51;10.30.22.134/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP93DV;cansapp93dv.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Jetty + ActiveMQ DV;DV;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-14-3E-74;10.30.22.133/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP93PY;cansapp93py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Jetty + ActiveMQ PY;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-14-45-76;10.30.20.131/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSAPP94;cansapp94.sa.agcocorp.com;;OPERATING;INTEROP;YES;P3;Virtual;VMware;CANOAS;Application Server;Qlikview;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Enterprise (64-bit);(UTC-03:00) Brasilia ;Intel(R) Gigabit 4P I350-t Mezz;BC:30:5B:2B:42:50;10.30.20.79/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSAPP94PY;None;;DECOMMISSIONED;INTEROP;NO;P5;Virtual;N/A;N/A;Application Server;Qlickview;PY;;AGCO AR - General Rodriguez;sa.agcocorp.com;N/A;(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-14-3E-7C;10.30.20.249;;;;10.30.20.1;10.30.22.140;10.30.22.139;;;;N/A;N/A;N/A
CANSAPP95PY;None;;DECOMMISSIONED;INTEROP;NO;P5;Virtual;N/A;N/A;Application Server;Server de Teste;PY;;AGCO AR - General Rodriguez;sa.agcocorp.com;N/A;(UTC-03:00) Brasilia;Intel 21140-Based PCI Fast Ethernet Adapter;00-15-5D-14-3E-7A;10.30.22.141;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP96;CANSAPP96.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Label Matrix;PD;;AGCO BR - CANOAS;sa.agcocorp.com;Windows Server 2008 Standard (64-bit);(UTC-03:00) Brasilia ;vmxnet3 Ethernet Adapter;;10.30.20.135/22;;;;10.30.20.1;10.30.22.139;10.30.22.140;;;;None;None;None
CANSAPP97;cansapp97.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;JEDI - SharePoint 2010;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Intel 21140-Based PCI Fast Ethernet Adapter ;00:15:5D:16:2A:8A;10.30.20.128/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP97PY;cansapp97py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;JEDI - SharePoint 2010;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Intel 21140-Based PCI Fast Ethernet Adapter;00-15-5D-14-3E-72;10.30.20.127/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP98;cansapp98.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Antivirus EMC (NAS) Cansfile01 - Second;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:16:2A:8D;10.30.22.148;;;;10.30.20.1;10.30.22.138;10.30.22.140;;;;None;None;None
CANSAPP99;cansapp99.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Antivirus EMC (NAS) Cansfile01 - Primary;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;vmxnet3 Ethernet Adapter;00:50:56:B8:0C:7D;10.30.22.149/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSAPPNEX01;CANSAPPNEX01.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Projeto Nexpose;PD;;AGCO BR - Canoas;None;Ubuntu 14 Linux (64-bit);;;;10.30.23.65/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAT01;cansat01.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P2;Virtual;VMware;CANOAS;Infrastructure Server;Servidor de Anti-vís e Respositó DLO Canoas;PD;Fabiano Santos;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia ;vmxnet3 Ethernet Adapter;00:50:56:B8:35:C1;10.30.20.16/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSBKP01PY;CANSBKP01PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Infrastructure Server;NetBackup - Media Server;PY;Operaç BR;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.23.112/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSBKP03;cansbkp03.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Infrastructure Server;NetBackup - Master Server;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:16:2A:7F;10.30.20.111/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSBKP05;cansbkp05.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Physical;None;None;Infrastructure Server;NetBackup - Media Server;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia ;Intel(R) Gigabit 2P I350-t Adapter · Producao Member 1;A0:36:9F:03:6A:60;10.30.20.54/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;DELL;R720;PowerEdge;192.168.0.120;HX513V1;10/10/2017
