Host Name;DNS name 1;DNS name 2;State;Responsable;Critical;Priority;Type;Virt. Plataform;Fail Over Cluster or VMwware Datacenter;Business Function;Application name;Environment;Contact Team;Data center;Domain;Operating System;Time Zone;Network Adapter;MAC Address;IP Address Adapter 1;IP Address Adapter 2;IP Address Adapter 3;IP Address Adapter 4;Default Gateway;DNS Primary;DNS Secondary;SERVER MAKE;SERVER MODEL;SERVER TYPE;Console Remote Access;Service Tag (serial);Warranty end
cansapp168;cansapp168.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Unknown;PD;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 16 Linux (64-bit);;;;10.30.23.129/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSAPP168DV;CANSAPP168DV.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Unknown;DV;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 16 Linux (64-bit);;;;10.30.23.37/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
cansapp168py;cansapp168py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Unknown;PY;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 16 Linux (64-bit);;;;10.30.23.130/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSAPP169;CANSAPP169.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Linux Agent Solarwinds (pooler scripts);PD;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 16 Linux (64-bit);;;;10.30.23.29/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSAPP16DV;cansapp16dv.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Unknown;DV;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.20.24;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSAPP16PY;cansapp16py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Unknown;PY;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.20.28;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;None;None;None
CANSAPP17;None;;DECOMMISSIONED;INTEROP;YES;P5;Virtual;N/A;N/A;N/A;N/A;PD;Cristiano / Carlos;AGCO AR - General Rodriguez;None;N/A;(UTC-03:00) Brasilia;;;10.30.20.49.old;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP170;CANSAPP170.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;;;PD;;AGCO BR - Canoas;;;;;;10.30.23.80/22;;;;10.30.20.1;;;;;;;;
CANSAPP170DV;CANSAPP170DV.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;DevOps;DV;;AGCO BR - Canoas;None;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.23.50/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP171;CANSAPP171.sa.agcocorp.com;;OPERATING;INTEROP;NO;P1;Virtual;VMware;CANOAS;Application Server;NGINX;PD; Luis Furlan e Eduardo Bobsin;AGCO BR - Canoas;None;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.21.23/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP171DV;CANSAPP171DV.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;NGINX;DV; Luis Furlan e Eduardo Bobsin;AGCO BR - Canoas;None;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.21.13/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP171PY;CANSAPP171PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;NGINX;DV; Luis Furlan e Eduardo Bobsin;AGCO BR - Canoas;None;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.21.14/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP172;CANSAPP172.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;API VMI AGCO and BARKWI;PD;Eduardo Mallmann e Karina Oliveira;AGCO BR - Canoas;None;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.21.32/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP172DV;CANSAPP172DV.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;API VMI AGCO and BARKWI;DV;Eduardo Mallmann e Karina Oliveira;AGCO BR - Canoas;None;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.21.24/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP172PY;CANSAPP172PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;API VMI AGCO and BARKWI;PY;Eduardo Mallmann e Karina Oliveira;AGCO BR - Canoas;None;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.21.27/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
